feat-count,application,laptop,cpu,gpu,storage,ram,battery,score
5,Bioshock Infinite - Enthusiast,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,38.8
5,Bioshock Infinite - Mainstream,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,64.6
5,Bioshock Infinite - Value,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,69.5
5,Futuremark 3DMark 11,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,4683
5,Futuremark 3DMark Cloud Gate,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,6996
5,Futuremark 3DMark Fire Strike,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,3681
5,Metro: Last Light - Mainstream,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,26.4
5,Metro: Last Light - Value,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,28.1
5,PCMark 7 (2013),MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,2975
5,Tomb Raider - Enthusiast,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,38.3
5,Tomb Raider - Mainstream,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,99.3
5,Tomb Raider - Value,MSI GX60,A10-4600M,HD 7970M Enduro,1TB HDD,8GB,86Wh,106.1
5,Battery Charge Time,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,167
5,Battery Life 2013 - Light,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,827
5,Battery Life 2013 - Light Normalized,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,9.72
5,Battery Life 2016 - Web,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,584
5,Battery Life 2016 - Web - Normalized,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,6.87
5,Battery Life Movie Playback,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,890
5,Battery Life Tesseract,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,6.26
5,Bioshock Infinite - Enthusiast,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,98.9
5,Bioshock Infinite - Mainstream,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,163.8
5,Bioshock Infinite - Value,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,192.1
5,Cinebench R11.5 - Multi-Threaded Benchmark,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,6.83
5,Cinebench R11.5 - Single-Threaded Benchmark,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,1.83
5,Cinebench R15 - Single-Threaded Benchmark,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,170
5,Cinebench R15 - Multi-Threaded Benchmark,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,629
5,Civilization VI Enthusiast,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB SSD,16GB,85Wh,55.6
