userId,application,laptop,cpu,gpu,storage,ram,battery
0,7-Zip Compression,Dell XPS 13 (9300) FHD,Core i7-1065G7,HD 4000,256GB,16GB,52Wh
0,7-Zip Compression,Microsoft Surface Laptop 3 15 Core i7,Core i7-1065G7,Iris Plus,256GB,16GB,46Wh
0,7-Zip Compression,Microsoft Surface Book 3 15,Core i7-1065G7,Iris Plus + GTX 1660 Ti,500GB,32GB,85Wh
0,7-Zip Compression,Razer Blade 15,Core i7-10750H,RTX 3070,512GB,16GB,65Wh
0,7-Zip Compression,Microsoft Surface Laptop 4 15 Ryzen 7,Ryzen 7 4980U,Vega 8,512GB,16GB,46Wh
0,7-Zip Compression,MSI Prestige 14 Evo,Core i7-1185G7,Xe Graphics,512GB,16GB,52Wh
0,7-Zip Compression,Microsoft Surface Laptop 3 15 Ryzen 7,Ryzen 7 3780U,Vega 11,512GB,16GB,46Wh
0,7-Zip Compression,Acer Swift 3 SF314-42,Ryzen 7 4700U,Vega 7,512GB,8GB,48Wh
0,7-Zip Compression,Acer Nitro 5 2020,AMD Ryzen 5 4600H,Radeon Vega 6 + GTX 1650,256GB,8GB,51Wh
1,7-Zip Decompression,Dell XPS 13 (9300) FHD,Core i7-1065G7,HD 4000,256GB,16GB,52Wh
1,7-Zip Decompression,Microsoft Surface Laptop 3 15 Core i7,Core i7-1065G7,Iris Plus,256GB,16GB,46Wh
1,7-Zip Decompression,Microsoft Surface Book 3 15,Core i7-1065G7,Iris Plus + GTX 1660 Ti,500GB,32GB,85Wh
1,7-Zip Decompression,Microsoft Surface Laptop 4 15 Ryzen 7,Ryzen 7 4980U,Vega 8,512GB,16GB,46Wh
1,7-Zip Decompression,Razer Blade 15,Core i7-10750H,RTX 3070,512GB,16GB,65Wh
1,7-Zip Decompression,MSI Prestige 14 Evo,Core i7-1185G7,Xe Graphics,512GB,16GB,52Wh
1,7-Zip Decompression,Microsoft Surface Laptop 3 15 Ryzen 7,Ryzen 7 3780U,Vega 11,512GB,16GB,46Wh
1,7-Zip Decompression,Acer Nitro 5 2020,AMD Ryzen 5 4600H,Radeon Vega 6 + GTX 1650,256GB,8GB,51Wh
1,7-Zip Decompression,Acer Swift 3 SF314-42,Ryzen 7 4700U,Vega 7,512GB,8GB,48Wh
2,Battery Charge Time,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB,16GB,85Wh
2,Battery Charge Time,Dell XPS 13 (9343) FHD,Core i5-5200U,HD 4000,128GB,4GB,52Wh
2,Battery Charge Time,Microsoft Surface Pro,Core i5-3317U,HD4000,128GB,4GB,42Wh
2,Battery Charge Time,Dell Latitude 12 E5250,Core i5-4310U,HD 4400,128GB,8GB,51Wh
2,Battery Charge Time,Gigabyte P35X v3,Core i7-4710HQ,GTX980M 8GB,128GB,16GB,75Wh
2,Battery Charge Time,Lenovo Ideapad Y700,Core i7-6700HQ,GTX 960M,128GB,16GB,60Wh
2,Battery Charge Time,Apple iPad Pro 11-Inch,A12X,HD 4000,1TB,6GB,29Wh
2,Battery Charge Time,MSI GT83VR Titan,Core i7-7920HQ,GTX 1080 SLI,1TB,64GB,75Wh
2,Battery Charge Time,MSI GE75 Raider,Core i9-9880H,UHD 630 + RTX 2080,1TB,32GB,65Wh
2,Battery Charge Time,MSI GT80 Titan,Core i7-5700HQ,GTX 980M SLI,256GB,16GB,80Wh
2,Battery Charge Time,Microsoft Surface Laptop 3 15 Core i7,Core i7-1065G7,Iris Plus,256GB,16GB,46Wh
2,Battery Charge Time,Lenovo Yoga C930,Core i7-8550U,UHD 620,256GB,12GB,60Wh
2,Battery Charge Time,ASUS GL502VS,Core i7-6700HQ,GTX 1070,256GB,16GB,62Wh
2,Battery Charge Time,ASUS G751JY,Core i7-4720HQ,GTX 980M,256GB,24GB,90Wh
2,Battery Charge Time,Acer Aspire R 13,Core i7-5500U,HD 5500,256GB,8GB,50Wh
2,Battery Charge Time,Clevo P750ZM,Core i7-4790K,GTX 980M 8GB,256GB,16GB,82Wh
2,Battery Charge Time,Lenovo Yoga 2 Pro,Core i5-4200U,HD4400,256GB,4GB,55Wh
2,Battery Charge Time,Lenovo Yoga 3 Pro,Core M-5Y71,HD5300,256GB,8GB,44Wh
2,Battery Charge Time,Clevo P870DM2 (Mythlogic Phobos 8716),Core i7-6700K,GTX 1080 8GB,256GB,16GB,82Wh
2,Battery Charge Time,ASUS Zenbook UX305,Core M-5Y10,HD 5300,256GB,8GB,45Wh
2,Battery Charge Time,Microsoft Surface Pro 3,Core i5-4300U,HD4400,256GB,8GB,42Wh
2,Battery Charge Time,Microsoft Surface Pro 4,Core i5-6300U,HD 520,256GB,8GB,39Wh
2,Battery Charge Time,Chuwi AeroBook,Intel Core m3-6Y30,Intel HD 515,256GB,8GB,38Wh
2,Battery Charge Time,Microsoft Surface Pro 2,Core i5-4200U,HD4400,256GB,8GB,42Wh
2,Battery Charge Time,Microsoft Surface Pro 6,Core i5-8250U,Intel UHD 620,256GB,8GB,48Wh
2,Battery Charge Time,HP Spectre Folio,Core i7-8500Y,UHD 615,256GB,16GB,55Wh
2,Battery Charge Time,Dell XPS 13 (9300) FHD,Core i7-1065G7,HD 4000,256GB,16GB,52Wh
2,Battery Charge Time,Microsoft Surface Laptop 2,Core i7-8650U,UHD 620,256GB,8GB,47Wh
2,Battery Charge Time,Lenovo ThinkPad T450s,Core i5-5300U,HD 5500,256GB,8GB,46Wh
2,Battery Charge Time,Dell XPS 13 (9343) QHD+,Core i5-5200U,HD 4000,256GB,8GB,52Wh
2,Battery Charge Time,Razer Blade 14 (Early 2015),Core i7-4720HQ,GTX 970M,256GB,16GB,70Wh
2,Battery Charge Time,Acer Aspire S7-393 (Broadwell ULT),Core i7-5500U,HD 5500,256GB,8GB,46Wh
2,Battery Charge Time,Microsoft Surface Book Core i5,Core i5-6300U,HD 520,256GB,8GB,70Wh
2,Battery Charge Time,Acer Predator Triton 500,Core i7-8750H,RTX 2080 Max-Q,1,32GB,84Wh
2,Battery Charge Time,Microsoft Surface Book 3 15,Core i7-1065G7,Iris Plus + GTX 1660 Ti,500GB,32GB,85Wh
2,Battery Charge Time,Lenovo ThinkPad A285,Ryzen 5 Pro 2500U,Vega 8,512,8GB,48Wh
2,Battery Charge Time,Lenovo ThinkPad P70,Xeon E3-1505M,M4000M,512GB,16GB,96Wh
2,Battery Charge Time,ASUS ZenBook 3 UX490UA,Core i7-8550U,HD620,512GB,16GB,46Wh
2,Battery Charge Time,Huawei MateBook X Pro,Core i7-8550U,UHD630 + MX150,512GB,16GB,57Wh
2,Battery Charge Time,Lenovo ThinkPad X1 Carbon (2015),Core i7-5600U,Intel HD 5500,512GB,8GB,50Wh
2,Battery Charge Time,Lenovo ThinkPad X1 Yoga,Core i7-6500U,HD 520,512GB,8GB,52Wh
2,Battery Charge Time,Razer Blade 15,Core i7-10750H,RTX 3070,512GB,16GB,65Wh
2,Battery Charge Time,Microsoft Surface Laptop 3 15 Ryzen 7,Ryzen 7 3780U,Vega 11,512GB,16GB,46Wh
2,Battery Charge Time,Microsoft Surface Laptop 4 15 Ryzen 7,Ryzen 7 4980U,Vega 8,512GB,16GB,46Wh
2,Battery Charge Time,Dell XPS 15 (9550),Core i7-6700HQ,HD 530 + GTX 960M,512GB,16GB,84Wh
2,Battery Charge Time,Dell XPS 13 2-in-1 (7390),Core i7-1065G7,Iris Plus Graphics,512GB,16GB,50Wh
2,Battery Charge Time,Dell Latitude 13 7390 2-in-1,Core i7-8650U,UHD 620,512GB,16GB,60Wh
2,Battery Charge Time,Clevo P775TM1-G (Eurocom Sky X7C),Core i9-9900K,RTX 2080,512GB,64GB,80Wh
2,Battery Charge Time,Microsoft Surface Book Core i7,Core i7-6600U,HD 520 + GT 940M,512GB,16GB,70Wh
2,Battery Charge Time,Dell XPS 15 (9560),Core i7-7700HQ,HD 630 + GTX 1050,512GB,16GB,97Wh
2,Battery Charge Time,Microsoft Surface Pro (2017),Core i7-7660U,Intel Iris Plus 640,512GB,16GB,45Wh
2,Battery Charge Time,MSI Prestige 14 Evo,Core i7-1185G7,Xe Graphics,512GB,16GB,52Wh
2,Battery Charge Time,Razer Blade Stealth UHD,Core i7-6500U,HD 520,512GB,8GB,45Wh
2,Battery Charge Time,MSI GT75 Titan,Core i9-8950HK,GTX 1080,512GB,32GB,90Wh
2,Battery Charge Time,MSI GT72 Dominator Pro,Core i7-4710HQ,GTX 980M 8GB GDDR5,512GB,32GB,87Wh
2,Battery Charge Time,Chuwi LapBook 12.3,Intel Celeron N3450,Intel HD 500,64GB,6GB,37Wh
2,Battery Charge Time,Microsoft Surface 3,Atom x7-Z8700,Intel HD Graphics,64GB,2GB,28Wh
2,Battery Charge Time,Dell Venue 11 Pro 7000,Intel Core M-5Y71 1.2 GHz,HD5300,128,8GB,38Wh
2,Battery Charge Time,Microsoft Surface Go LTE,Pentium Gold 4415Y,HD 615,128GB,8GB,27Wh
2,Battery Charge Time,Acer Swift 3 SF314-42,Ryzen 7 4700U,Vega 7,512GB,8GB,48Wh
2,Battery Charge Time,Acer Nitro 5 2020,AMD Ryzen 5 4600H,Radeon Vega 6 + GTX 1650,256GB,8GB,51Wh
2,Battery Charge Time,Acer Nitro 5 2019,AMD Ryzen 5 2500U,Radeon Vega 8 + RX 560X,256GB,8GB,47Wh
3,Battery Life 2013 - Light,Microsoft Surface Book 2 15,Core i7-8650U,HD 620 + GTX 1060,1024GB,16GB,85Wh
3,Battery Life 2013 - Light,Clevo P177SM (Eurocom X5),Core i7-4930MX,GTX 780M,120GB,32GB,87Wh
3,Battery Life 2013 - Light,Dell XPS 13 (9343) FHD,Core i5-5200U,HD 4000,128GB,4GB,52Wh
3,Battery Life 2013 - Light,Apple 13-inch MacBook Air (Mid 2013),Core i5-4250U,HD 5000,128GB,4GB,54Wh
3,Battery Life 2013 - Light,Dell Latitude 12 E5250,Core i5-4310U,HD 4400,128GB,8GB,51Wh
3,Battery Life 2013 - Light,Sony VAIO Pro 13,Core i5-4200U,HD 4400,128GB,4GB,37Wh
3,Battery Life 2013 - Light,Microsoft Surface Pro,Core i5-3317U,HD4000,128GB,4GB,42Wh
3,Battery Life 2013 - Light,MSI GE40,Core i7-4702MQ,GTX 760M,128GB,8GB,65Wh
3,Battery Life 2013 - Light,Gigabyte P35X v3,Core i7-4710HQ,GTX980M 8GB,128GB,16GB,75Wh
3,Battery Life 2013 - Light,Lenovo Ideapad Y700,Core i7-6700HQ,GTX 960M,128GB,16GB,60Wh
3,Battery Life 2013 - Light,HP EliteBook Folio 9470m,Core i5-3427U,HD 4000,180GB,4GB,52Wh
3,Battery Life 2013 - Light,Lenovo ThinkPad X1 Carbon,Core i5-3427U,HD 4000,180GB,4GB,45Wh
3,Battery Life 2013 - Light,MSI GT70 GTX 880M Edition,Core i7-4800MQ,GTX 880M 8GB GDDR5 + HD 4600,1TB,12GB,87Wh
